DW_TEMPO;ds_invoice_date;Ano;Mes;Dia;Trimestre
9aa23ec6009ce1a21d3fa3dfc3293f4fe99e80f1346b05c4ceffd5aa8db45435;27/04/2017;"";"";"";""
61e86d6c8d17581bc970e7d072bbd79b3d6b1d47fed565fea7ea2254bb0b900c;05/05/2018;"";"";"";""
4c381e75ce71a7abe741b2dccba52af49c93b5d37e7b6db635675013c9976658;29/06/2017;"";"";"";""
cf9091ff24d812e750385192fa877514613b811cc1b095622162f4fe83077a38;28/01/2018;"";"";"";""
c08537960dbba957d99dfb5e3795c9863caf980130bbb6ce958575abdd55416b;13/12/2017;"";"";"";""
e51fc6ba86e7689680eaf4cf6055602c093e8adb48ade699843799592a42e295;19/03/2018;"";"";"";""
ef076d0baae349f0812dda030108477705e349bf97f3cdf6249114bc4470da2b;01/09/2017;"";"";"";""
e14742dada917871bd323fea1f9b96dcc097d88725d331105fb96b5a846bcf40;08/09/2017;"";"";"";""
8e978f696c8d08bae063217b408929fbe4260622a5e5de96b6e70e0276911a9d;09/11/2018;"";"";"";""
695bc8135e61c66d7b128a47644cdad49452681044c9d35ff0ee598d986818a7;15/07/2018;"";"";"";""
4f3e000a7ad0206c28ef5999faabc30acbf1b6c58fb70f0b5ec49224b7a2a412;13/10/2018;"";"";"";""
3973cdc0ea863a5ddd91abda9a4e3ba95f447df4a0ae44cedca2244d2efbc474;25/09/2017;"";"";"";""
3adcda8f4a788fabf980930cf1252cd3316d57b4924ac4c2d82b92d01efa997e;25/10/2018;"";"";"";""
c40b0b3b98e7128ae2b2405030a90a1845305457f2ac5ac8e457626bbadf7015;11/07/2017;"";"";"";""
b5a90b22e330c174fb128c8757714c8e34889bc60a80867df15c696c3aea434c;24/08/2018;"";"";"";""
fad0ac7cd6f1bdc3a2868c46ee6c06078cbfa506c0b9d5a3a2a498c230db18d6;29/12/2018;"";"";"";""
283c77194c4f96f306d19f6178a1cfe4c3da3e43a6ba9d20124e23d0b6261078;23/02/2017;"";"";"";""
ab0cc47fdd66238efdfe510328ead07cba33f32e81c17224cace27cf71c2dd59;25/02/2019;"";"";"";""
83f09c8b35094007053636cb2eebeb68dcab33e6c019263bdfc8211a005e7851;05/02/2017;"";"";"";""
a1d6ffbfc3997f3d6c3bacee45c3f9f3de7b2a34f603ba26a6737db067ebed43;19/11/2018;"";"";"";""
84a323d258ec83dd872270f8959c44029835370228c4d82058d02186c6301c48;05/01/2018;"";"";"";""
5fcf3513e8d6d8c1e74063256e6893e2ec5ac00f7f23a41e0f2b77e312b99d53;24/01/2017;"";"";"";""
fd4fe7dc5511737879838030defc87a3eed244bfda4ef45a32713512fdcc7225;11/02/2018;"";"";"";""
89574bbd4ffd651141163c412a4e239cce02e20175205b3386574afdd1d2d33c;03/03/2017;"";"";"";""
7d6d09f3fe4cf3cf56f6e961ee3e85631f0fe265c8cf81166e748dba0a743d82;15/03/2018;"";"";"";""
d1bf0d294307cf3daa6286c78567e79a5e519b78c5acb6160fe96ac475bf1ce0;04/07/2017;"";"";"";""
de104e0fee56b9ba16a4a31bf6f0dd4a95836f2c2bb39347ae9557afabc43bbc;20/08/2018;"";"";"";""
62178f913c6f6c97eb243a3f493f9ba2d07659728f86ecea3ee771d0c64a79dc;15/02/2019;"";"";"";""
d9e8c077e5c44f1a21c511644f04f18c583e881196d66128c41e4f0b2912d3d5;27/09/2018;"";"";"";""
2fd71c4d9060846797e79015c395818dd34af45d7586c0ac62424c149044ee70;16/02/2017;"";"";"";""
1601a48b5ab29ce3ab49a155ac2a622995efb6ccdf07c1ce2fc8a19881a00168;16/04/2018;"";"";"";""
3c0bffc6e7e81ee3ca7ca26f42af256ca0548dcc1114f5473555d098b7db237e;24/09/2018;"";"";"";""
3384b23dae693b93517ce16771c03e6e43ca5d2632e2eb0036a133463c1b9c5d;11/11/2018;"";"";"";""
9ccbfaa08dbee254c97ffaf92b499437bf2b602c4f77ef6e86c67aae2d0978a5;26/08/2018;"";"";"";""
9bf36dff99a81ed60b881983d2a27f9f40419daf134c70114478278170ea9697;05/11/2018;"";"";"";""
56bed0f3314345056298934bb6b93fc4ba5c6753ea54a67d8284ccbce52b74d5;17/02/2018;"";"";"";""
6468a01c8f0c35c5c539969edd8d289aa579a8f4518356737dd82c947b5f9b50;11/08/2017;"";"";"";""
1ada34b65e9e5c2e364567d0edfc56a3a8a8e56d0455fa358cd569a46f5dd3c8;21/10/2018;"";"";"";""
c122cdcd957d230c1e614a40a0a24a1d88496133b2c0f0de6d23659c4df00a0a;08/01/2019;"";"";"";""
a7a788aad5a9bf9589a63f350ab4548ae9c8598ab2dd53234ee724f6dfc2dc86;27/07/2018;"";"";"";""
7cdf990ad60b17fbfa64b6b628938f94a6f7276951e2bc420ee4b87386d8de3f;14/05/2018;"";"";"";""
945d7ef3f6eee4975d16b9d2dd123a75bd4032157be8f0bf7efcc2e9e61d2b7e;18/12/2017;"";"";"";""
204fae7e937b4b550ec3f2a78a74539f7087cfc1ee6c30ac5fde63d71a4b3165;04/02/2018;"";"";"";""
20fd5709d95941019ce84f6473ed2c2aa7fb5df46cc42ac557bf1735c2948ae5;23/12/2018;"";"";"";""
37eca06bdd29cb9b19f791692923d0e72f27c9406e1a7bfba408886bdc574087;16/02/2019;"";"";"";""
beaa50c6bfad0568f70df79821e35352ae495791bbc43f54da2cdb0fae10cda6;19/02/2019;"";"";"";""
5b3c10882ef9998681f3b1b0a1e8cffbc031967001ae8992a20c92b25b89f97a;25/11/2018;"";"";"";""
8eb6ccd249956e4d9b2a935e1032c869c2dd696723835fb98929422d901bace4;04/03/2018;"";"";"";""
c2128764b03516b1a2df8499492316ca98b8450364e9439f205704ca27d7ab96;15/01/2019;"";"";"";""
31fdfe578c3774a996daa51a853cf3007b53826aded84e4f1ae68a1d90b0c8b9;16/03/2017;"";"";"";""
5971c6b08cc42af34acdce9db6ec22e556de5ca6826222894f98fe670d5da37b;19/10/2017;"";"";"";""
d0db790c1d1f7357e9a06bd3fb1188e6f3a1caef1f02fdfeec729e7a77370f4c;10/03/2019;"";"";"";""
dde9a278055d33864132d6a3be963c2a50ce142ea78f8f54285f2fa0ef612f5e;23/04/2018;"";"";"";""
5d8f0e5704b9651671cb4374a520d56e8f88cebc4718d7798ca45c8ad11eac78;10/05/2018;"";"";"";""
c5d005239b299be8d7ddc3fa8678f054531da87aec8554ce1aa12bba04e36c2d;09/11/2017;"";"";"";""
2c17384e1ed64619ceadad980b6a8d392aadd43f8b3208e700295a84c2e566c5;12/12/2017;"";"";"";""
801dfbeb2cdc39eff613585a514ab0ae6889567ce20a0a4f640943d8fd5018d8;06/04/2017;"";"";"";""
44566bf77089e6ab2f984f4c45672a9b1386ffa6baacf8feb913fbc534ce2475;08/11/2018;"";"";"";""
0d853074266c3d2cc592e9c50941017b6d4f4760dc598f8e8c04797c4ccc7a98;01/02/2019;"";"";"";""
795fc8429c6a13cce3720c821ce016ea4ad180c62f28ac56752c79c60b87404a;19/07/2018;"";"";"";""
0d973aee3537a6a3cf2fcb975f154e40a99fb25f2042da6abd07bfd44152f4e1;17/05/2018;"";"";"";""
e085fe60f535850c0bb6dbd0c901bd49d5dc2b8e6f27dbacba4f6754a0aa2f28;19/01/2018;"";"";"";""
d88dd050100b988c48f729a7745982cca33234329340e7d8a7aca0c1b355f674;19/06/2017;"";"";"";""
351891d258cb685de9f0ba74c24c466b5fd764b4c62cd496acd44d240c34bf29;04/10/2017;"";"";"";""
c727de2cdda8762ce6e5c90449b72a186830be6a77d94cfd57fa4f1f95c9b1e8;13/01/2018;"";"";"";""
1b578fd9b60ec6cbbcec72d59c9ccf34cf89f0b273c9f4c6807c968e41ea3bd7;14/01/2018;"";"";"";""
20de040282e44b5b73c2214910e69f0bade51846fe29cc9809c1a6ff307b34c8;02/02/2018;"";"";"";""
853ee0a40204f35c4529b307cdc1054e60ef1b7ae937ca510594896ca660f389;07/05/2018;"";"";"";""
1a6fcc1d89925af75a0b61f1468aa6022098c479f885c89919d49d755ce7aac4;01/06/2017;"";"";"";""
d2affe913965456066b95684103ef23de59b76fcb26bbc81649bb4bdf6ea3d33;14/06/2017;"";"";"";""
dab0d21c4cfbb66f1f81aa29d5b8dc2c5d5263667f59efeb382541c8d8bafb03;15/10/2018;"";"";"";""
a43171376e1239d235737e0a20d5b6f705a30413d06ec22d5f06701ebe67862c;17/01/2017;"";"";"";""
a2dd5c42f11b3e2176f68cc5b2b4d3cf9f1b8ef1fedcc7c5a1b4687dd17c3bd5;09/05/2017;"";"";"";""
679fc90277ea55c60ed160d41be6d1c368c731f961c82131a3b7eef85f10c04a;08/06/2017;"";"";"";""
d220edbd850c6f87aff61e93b94efb1fd54287cac8e3b7a1bee59ac25484877c;25/05/2017;"";"";"";""
d5172d1af91db31edf52d6252d7564e3b8178662a6e3dafde46d7d449e580ea6;06/06/2017;"";"";"";""
17db0a881eefb29b9f080225694efc149612779a13a732e6da2c979756f5a098;06/09/2017;"";"";"";""
6639bf5498d23df78918167e3c8343bb24571ae01c24a3257118d05634496e30;29/11/2017;"";"";"";""
3e10111a32fb69651eb9065ff92c694d10edf8fb0b2a316e8745d6bfe448ce56;01/03/2019;"";"";"";""
2f0204725e044c6944d7b50c1a1e881db0107f0780cdc720cccb9f10ca6e1554;16/01/2017;"";"";"";""
e98cc395f1034291ef67e988beea983b9ddccc621ef151300e432f9cb2731c55;30/10/2017;"";"";"";""
c70cdc90053b04ec383b2aa8eec8eb13f6dd347c2191bcaf9466cf062438e8f2;06/02/2017;"";"";"";""
8b2220e6fcd970a04efb96dc7b4e50c92a0fab213c5379b9dfed43c933202e4c;17/03/2018;"";"";"";""
